label,n,sharpe,cagr,mdd,calmar,win,min_yr,variant
CCI_ETH_4h,115,1.31,0.249,-0.162,1.54,0.47,0.061,baseline_1x
CCI_ETH_4h,115,1.36,0.39,-0.218,1.79,0.47,0.11,trend_only
CCI_ETH_4h,115,1.32,0.344,-0.229,1.51,0.47,0.027,vol_only
CCI_ETH_4h,115,1.39,0.478,-0.284,1.68,0.47,0.062,trend_x_vol
CCI_ETH_4h,115,1.35,0.286,-0.193,1.48,0.47,0.029,defensive
CCI_ETH_4h,115,1.38,0.593,-0.347,1.71,0.47,0.052,aggressive
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,baseline_1x
STF_SOL_4h,125,0.61,0.138,-0.392,0.35,0.44,-0.2,trend_only
STF_SOL_4h,125,0.62,0.131,-0.407,0.32,0.44,-0.247,vol_only
STF_SOL_4h,125,0.52,0.118,-0.456,0.26,0.44,-0.277,trend_x_vol
STF_SOL_4h,125,0.58,0.099,-0.332,0.3,0.44,-0.198,defensive
STF_SOL_4h,125,0.51,0.128,-0.539,0.24,0.44,-0.343,aggressive
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,baseline_1x
STF_AVAX_4h,110,0.69,0.154,-0.336,0.46,0.38,-0.089,trend_only
STF_AVAX_4h,110,0.7,0.142,-0.304,0.47,0.38,-0.1,vol_only
STF_AVAX_4h,110,0.74,0.187,-0.382,0.49,0.38,-0.139,trend_x_vol
STF_AVAX_4h,110,0.73,0.123,-0.255,0.48,0.38,-0.087,defensive
STF_AVAX_4h,110,0.73,0.218,-0.45,0.49,0.38,-0.174,aggressive
STF_DOGE_4h,114,0.46,0.07,-0.447,0.16,0.36,-0.259,baseline_1x
STF_DOGE_4h,114,0.39,0.07,-0.572,0.12,0.36,-0.356,trend_only
STF_DOGE_4h,114,0.46,0.086,-0.529,0.16,0.36,-0.291,vol_only
STF_DOGE_4h,114,0.33,0.054,-0.585,0.09,0.36,-0.345,trend_x_vol
STF_DOGE_4h,114,0.41,0.061,-0.433,0.14,0.36,-0.23,defensive
STF_DOGE_4h,114,0.33,0.055,-0.668,0.08,0.36,-0.407,aggressive
VWZ_INJ_4h,23,0.59,0.046,-0.116,0.39,0.48,-0.057,baseline_1x
VWZ_INJ_4h,23,0.59,0.067,-0.17,0.39,0.48,-0.088,trend_only
VWZ_INJ_4h,23,0.55,0.053,-0.166,0.32,0.48,-0.098,vol_only
VWZ_INJ_4h,23,0.55,0.067,-0.215,0.31,0.48,-0.134,trend_x_vol
VWZ_INJ_4h,23,0.54,0.043,-0.139,0.31,0.48,-0.083,defensive
VWZ_INJ_4h,23,0.54,0.079,-0.261,0.3,0.48,-0.171,aggressive
LATBB_AVAX_4h,55,0.53,0.055,-0.278,0.2,0.4,-0.19,baseline_1x
LATBB_AVAX_4h,55,0.54,0.079,-0.389,0.2,0.4,-0.275,trend_only
LATBB_AVAX_4h,55,0.58,0.081,-0.37,0.22,0.4,-0.253,vol_only
LATBB_AVAX_4h,55,0.61,0.108,-0.46,0.24,0.4,-0.323,trend_x_vol
LATBB_AVAX_4h,55,0.61,0.072,-0.315,0.23,0.4,-0.21,defensive
LATBB_AVAX_4h,55,0.61,0.127,-0.538,0.24,0.4,-0.389,aggressive
BB_AVAX_4h,264,1.0,0.293,-0.25,1.17,0.39,0.085,baseline_1x
BB_AVAX_4h,264,1.11,0.458,-0.34,1.35,0.39,0.124,trend_only
BB_AVAX_4h,264,0.96,0.339,-0.314,1.08,0.39,0.131,vol_only
BB_AVAX_4h,264,1.09,0.461,-0.366,1.26,0.39,0.072,trend_x_vol
BB_AVAX_4h,264,1.02,0.287,-0.248,1.16,0.39,0.073,defensive
BB_AVAX_4h,264,1.05,0.525,-0.459,1.15,0.39,0.084,aggressive
