label,sharpe,cagr,mdd,calmar,min_yr,pos_yrs,portfolio,boost
P3_x1.0,2.13,0.385,-0.124,3.11,0.116,6,P3,1.0
P3_x1.25,2.12,0.46,-0.144,3.19,0.123,6,P3,1.25
P3_x1.5,2.1,0.537,-0.165,3.26,0.125,6,P3,1.5
P3_x2.0,2.06,0.69,-0.204,3.38,0.127,6,P3,2.0
P5_x1.0,2.14,0.318,-0.181,1.75,0.102,6,P5,1.0
P5_x1.25,2.15,0.374,-0.209,1.79,0.101,6,P5,1.25
P5_x1.5,2.14,0.431,-0.235,1.83,0.099,6,P5,1.5
P5_x2.0,2.1,0.543,-0.293,1.86,0.095,6,P5,2.0
P7_x1.0,2.04,0.43,-0.152,2.84,0.128,6,P7,1.0
P7_x1.25,2.01,0.519,-0.192,2.7,0.117,6,P7,1.25
P7_x1.5,1.99,0.609,-0.231,2.64,0.104,6,P7,1.5
P7_x2.0,1.94,0.793,-0.302,2.63,0.076,6,P7,2.0
