label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,symbol,tf,fn,module
CCI_BTC_4h,100,0.058,-0.011,-0.4916,-0.022,0.32,9438.72,BTCUSDT,4h,sig_cci_extreme,run_v30_creative.py
CCI_ETH_4h,100,1.217,0.2843,-0.291,0.977,0.42,37150.75,ETHUSDT,4h,sig_cci_extreme,run_v30_creative.py
CCI_SOL_4h,102,0.546,0.0975,-0.2366,0.412,0.304,16287.92,SOLUSDT,4h,sig_cci_extreme,run_v30_creative.py
CCI_AVAX_4h,94,0.254,0.0313,-0.3432,0.091,0.277,11755.24,AVAXUSDT,4h,sig_cci_extreme,run_v30_creative.py
CCI_LINK_4h,110,0.037,-0.0157,-0.4102,-0.038,0.291,9203.24,LINKUSDT,4h,sig_cci_extreme,run_v30_creative.py
STF_BTC_4h,114,0.067,-0.0127,-0.5752,-0.022,0.254,9350.41,BTCUSDT,4h,sig_supertrend_flip,run_v30_creative.py
STF_ETH_4h,124,0.536,0.1104,-0.551,0.2,0.315,17318.36,ETHUSDT,4h,sig_supertrend_flip,run_v30_creative.py
STF_SOL_4h,115,1.703,0.4829,-0.243,1.987,0.383,78973.42,SOLUSDT,4h,sig_supertrend_flip,run_v30_creative.py
STF_AVAX_4h,106,1.326,0.3301,-0.2455,1.345,0.415,44650.79,AVAXUSDT,4h,sig_supertrend_flip,run_v30_creative.py
STF_LINK_4h,123,0.224,0.0254,-0.6057,0.042,0.333,11404.45,LINKUSDT,4h,sig_supertrend_flip,run_v30_creative.py
TTM_BTC_4h,183,-0.508,-0.1718,-0.7123,-0.241,0.224,3721.09,BTCUSDT,4h,sig_ttm_squeeze,run_v30_creative.py
TTM_SOL_4h,165,0.698,0.1723,-0.3373,0.511,0.315,23022.18,SOLUSDT,4h,sig_ttm_squeeze,run_v30_creative.py
TTM_AVAX_4h,144,0.419,0.0802,-0.3911,0.205,0.326,14990.22,AVAXUSDT,4h,sig_ttm_squeeze,run_v30_creative.py
TTM_DOGE_4h,171,0.181,0.0087,-0.5133,0.017,0.31,10464.84,DOGEUSDT,4h,sig_ttm_squeeze,run_v30_creative.py
VWZ_ETH_4h,26,-0.669,-0.0726,-0.3658,-0.199,0.192,6733.49,ETHUSDT,4h,sig_vwap_zfade,run_v30_creative.py
VWZ_DOGE_4h,19,-0.261,-0.0247,-0.2024,-0.122,0.263,8771.58,DOGEUSDT,4h,sig_vwap_zfade,run_v30_creative.py
VWZ_INJ_4h,23,0.282,0.0232,-0.1454,0.16,0.435,11278.75,LINKUSDT,4h,sig_vwap_zfade,run_v30_creative.py
BB_BTC_4h,224,0.061,-0.0395,-0.6152,-0.064,0.263,8096.14,BTCUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py
BB_ETH_4h,218,0.482,0.1137,-0.338,0.336,0.294,17590.47,ETHUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py
BB_SOL_4h,209,1.186,0.4303,-0.4397,0.979,0.321,65361.29,SOLUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py
BB_DOGE_4h,233,0.369,0.0709,-0.4753,0.149,0.296,14325.3,DOGEUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py
HTFD_DOGE_4h,221,0.889,0.2949,-0.4114,0.717,0.308,38784.87,DOGEUSDT,4h,sig_htf_donchian_ls,run_v34_expand.py
HTFD_SOL_4h,224,1.181,0.4411,-0.4054,1.088,0.312,67987.17,SOLUSDT,4h,sig_htf_donchian_ls,run_v34_expand.py
LATBB_ETH_4h,55,0.491,0.0694,-0.2277,0.305,0.327,14219.14,ETHUSDT,4h,sig_lateral_bb_fade,run_v29_regime.py
LATBB_SOL_4h,48,0.658,0.0933,-0.3061,0.305,0.312,15962.97,SOLUSDT,4h,sig_lateral_bb_fade,run_v29_regime.py
LATBB_BTC_4h,59,0.032,-0.0084,-0.2961,-0.028,0.305,9569.07,BTCUSDT,4h,sig_lateral_bb_fade,run_v29_regime.py
REGSW_BTC_4h,181,0.31,0.0494,-0.4507,0.11,0.293,12876.65,BTCUSDT,4h,sig_regime_switch,run_v29_regime.py
REGSW_ETH_4h,182,0.61,0.1552,-0.3045,0.51,0.313,21310.56,ETHUSDT,4h,sig_regime_switch,run_v29_regime.py
