size,sleeves,sharpe,cagr,max_dd,calmar,min_yr,pos_yrs,n_yrs,avg_pair_corr
4,CCI_ETH_4h + LATBB_AVAX_4h + STF_DOGE_4h + STF_SOL_4h,2.286,0.3318,-0.1589,2.088,0.0775,6,6,0.095
4,CCI_ETH_4h + LATBB_AVAX_4h + STF_AVAX_4h + STF_SOL_4h,2.279,0.3276,-0.1312,2.498,0.0865,6,6,0.106
4,CCI_ETH_4h + STF_AVAX_4h + STF_DOGE_4h + STF_SOL_4h,2.201,0.3818,-0.1253,3.048,0.047,6,6,0.194
4,BB_AVAX_4h + CCI_ETH_4h + STF_DOGE_4h + STF_SOL_4h,2.172,0.4164,-0.1181,3.527,0.0985,6,6,0.157
4,CCI_ETH_4h + LATBB_AVAX_4h + STF_SOL_4h + TGMT_AVAX_4h,2.171,0.2968,-0.1725,1.72,0.0898,6,6,0.084
4,LATBB_AVAX_4h + STF_AVAX_4h + STF_DOGE_4h + STF_SOL_4h,2.167,0.3422,-0.1316,2.601,0.0119,6,6,0.155
4,BB_AVAX_4h + CCI_ETH_4h + LATBB_AVAX_4h + STF_SOL_4h,2.166,0.3604,-0.1384,2.604,0.0935,6,6,0.096
4,CCI_ETH_4h + STF_AVAX_4h + STF_SOL_4h + VWZ_INJ_4h,2.155,0.288,-0.112,2.572,0.0659,6,6,0.074
4,CCI_ETH_4h + STF_AVAX_4h + STF_SOL_4h + VWZ_LINK_4h,2.155,0.288,-0.112,2.572,0.0659,6,6,0.074
4,CCI_ETH_4h + STF_DOGE_4h + STF_SOL_4h + TGMT_AVAX_4h,2.153,0.3505,-0.1586,2.209,0.0349,6,6,0.146
4,CCI_ETH_4h + STF_DOGE_4h + STF_SOL_4h + VWZ_INJ_4h,2.144,0.2919,-0.1336,2.185,0.0237,6,6,0.073
4,CCI_ETH_4h + STF_DOGE_4h + STF_SOL_4h + VWZ_LINK_4h,2.144,0.2919,-0.1336,2.185,0.0237,6,6,0.073
3,CCI_ETH_4h + LATBB_AVAX_4h + STF_SOL_4h,2.14,0.3173,-0.1814,1.749,0.101,6,6,0.071
4,CCI_ETH_4h + LATBB_SOL_4h + STF_DOGE_4h + STF_SOL_4h,2.138,0.3142,-0.1463,2.148,0.064,6,6,0.126
4,CCI_ETH_4h + LATBB_SOL_4h + STF_AVAX_4h + STF_SOL_4h,2.136,0.3102,-0.1181,2.626,0.0726,6,6,0.134
4,CCI_ETH_4h + LATBB_AVAX_4h + STF_SOL_4h + VWZ_INJ_4h,2.136,0.2398,-0.1561,1.537,0.0725,6,6,0.044
4,CCI_ETH_4h + LATBB_AVAX_4h + STF_SOL_4h + VWZ_LINK_4h,2.136,0.2398,-0.1561,1.537,0.0725,6,6,0.044
3,CCI_ETH_4h + STF_AVAX_4h + STF_SOL_4h,2.129,0.3845,-0.1236,3.11,0.116,6,6,0.166
4,CCI_ETH_4h + HTFD_AVAX_4h + STF_DOGE_4h + STF_SOL_4h,2.125,0.4177,-0.1298,3.218,0.0545,6,6,0.166
4,CCI_ETH_4h + STF_DOGE_4h + STF_SOL_4h + VWZ_SOL_4h,2.122,0.2904,-0.1084,2.678,0.0149,6,6,0.07
4,CCI_ETH_4h + CCI_SOL_4h + STF_DOGE_4h + STF_SOL_4h,2.121,0.3185,-0.1046,3.046,0.0702,6,6,0.097
3,CCI_ETH_4h + STF_DOGE_4h + STF_SOL_4h,2.121,0.39,-0.1538,2.536,0.0574,6,6,0.16
4,LATBB_AVAX_4h + STF_DOGE_4h + STF_SOL_4h + TGMT_AVAX_4h,2.119,0.3117,-0.164,1.9,0.0152,6,6,0.11
4,CCI_ETH_4h + STF_AVAX_4h + STF_SOL_4h + VWZ_SOL_4h,2.118,0.2864,-0.1038,2.759,0.0565,6,6,0.08
4,CCI_ETH_4h + HTFD_AVAX_4h + LATBB_AVAX_4h + STF_SOL_4h,2.118,0.3619,-0.144,2.512,0.0498,6,6,0.104
4,CCI_ETH_4h + CCI_SOL_4h + STF_AVAX_4h + STF_SOL_4h,2.112,0.3143,-0.1052,2.988,0.0788,6,6,0.107
4,BB_AVAX_4h + LATBB_AVAX_4h + STF_DOGE_4h + STF_SOL_4h,2.105,0.3755,-0.1237,3.035,0.0186,6,6,0.13
4,LATBB_AVAX_4h + STF_DOGE_4h + STF_SOL_4h + VWZ_SOL_4h,2.104,0.2532,-0.1131,2.238,0.0377,6,6,0.034
4,CCI_ETH_4h + LATBB_AVAX_4h + STF_SOL_4h + VWZ_SOL_4h,2.103,0.2383,-0.1249,1.908,0.1136,6,6,0.038
3,LATBB_AVAX_4h + STF_DOGE_4h + STF_SOL_4h,2.099,0.3377,-0.1679,2.012,0.0016,6,6,0.097
