symbol,tf,strategy,exit,best_k,n,sharpe,cagr,mdd,calmar,win_rate,min_yr,pos_yrs,total_yrs,avg_hold,pf
ETHUSDT,4h,cci_adaptive,canonical,5,85,-0.31,-0.074,-0.401,-0.18,0.282,-0.156,2,6,26.8,0.79
ETHUSDT,4h,cci_adaptive,tp12,5,126,-0.31,-0.059,-0.412,-0.14,0.563,-0.185,2,6,18.8,0.83
ETHUSDT,4h,st_adaptive,canonical,5,39,0.46,0.061,-0.168,0.36,0.333,-0.058,4,6,29.4,1.58
ETHUSDT,4h,st_adaptive,tp12,5,64,0.9,0.092,-0.108,0.85,0.734,0.0,5,6,13.9,2.0
ETHUSDT,4h,switcher,canonical,5,80,-0.38,-0.081,-0.444,-0.18,0.263,-0.24,2,6,25.2,0.76
ETHUSDT,4h,switcher,tp12,5,118,-0.27,-0.051,-0.449,-0.11,0.568,-0.213,4,6,18.2,0.85
AVAXUSDT,4h,cci_adaptive,canonical,5,84,0.01,-0.015,-0.36,-0.04,0.274,-0.214,3,6,23.6,1.03
AVAXUSDT,4h,cci_adaptive,tp12,5,119,-0.25,-0.044,-0.423,-0.1,0.546,-0.145,2,6,17.3,0.88
AVAXUSDT,4h,st_adaptive,canonical,5,33,1.32,0.235,-0.167,1.41,0.485,-0.014,5,6,32.4,3.75
AVAXUSDT,4h,st_adaptive,tp12,5,54,0.88,0.103,-0.123,0.84,0.741,-0.035,4,6,17.7,2.34
AVAXUSDT,4h,switcher,canonical,5,84,0.12,0.005,-0.288,0.02,0.286,-0.189,3,6,23.9,1.09
AVAXUSDT,4h,switcher,tp12,5,120,-0.16,-0.033,-0.386,-0.09,0.558,-0.118,2,6,16.8,0.92
SOLUSDT,4h,cci_adaptive,canonical,5,69,0.46,0.066,-0.392,0.17,0.377,-0.19,3,6,28.1,1.35
SOLUSDT,4h,cci_adaptive,tp12,5,108,0.07,0.001,-0.339,0.0,0.574,-0.185,3,6,18.2,1.03
SOLUSDT,4h,st_adaptive,canonical,5,18,0.93,0.118,-0.135,0.88,0.556,-0.031,4,6,34.3,3.84
SOLUSDT,4h,st_adaptive,tp12,5,32,1.07,0.078,-0.065,1.2,0.844,0.012,6,6,13.7,4.26
SOLUSDT,4h,switcher,canonical,5,61,0.8,0.129,-0.348,0.37,0.426,-0.129,3,6,30.8,1.73
SOLUSDT,4h,switcher,tp12,5,100,0.44,0.049,-0.339,0.15,0.62,-0.092,3,6,18.7,1.25
DOGEUSDT,4h,cci_adaptive,canonical,5,68,0.83,0.147,-0.287,0.51,0.353,-0.061,4,6,26.8,1.68
DOGEUSDT,4h,cci_adaptive,tp12,5,97,0.1,0.004,-0.272,0.02,0.577,-0.181,4,6,18.1,1.03
DOGEUSDT,4h,st_adaptive,canonical,5,41,0.08,-0.001,-0.323,-0.0,0.293,-0.119,3,6,26.0,1.06
DOGEUSDT,4h,st_adaptive,tp12,5,65,0.4,0.038,-0.144,0.27,0.662,-0.027,4,6,15.2,1.35
DOGEUSDT,4h,switcher,canonical,5,65,0.93,0.167,-0.287,0.58,0.369,-0.061,4,6,27.4,1.82
DOGEUSDT,4h,switcher,tp12,5,94,0.24,0.022,-0.272,0.08,0.596,-0.181,4,6,18.3,1.12
AVAXUSDT,1h,st_adaptive,canonical,5,117,1.16,0.35,-0.312,1.12,0.35,-0.185,5,6,32.3,1.87
AVAXUSDT,1h,st_adaptive,tp12,5,181,0.82,0.167,-0.299,0.56,0.646,-0.261,4,6,17.0,1.48
SOLUSDT,1h,st_adaptive,canonical,5,125,0.96,0.27,-0.291,0.93,0.328,-0.084,4,6,30.1,1.65
SOLUSDT,1h,st_adaptive,tp12,5,186,0.72,0.125,-0.212,0.59,0.64,-0.1,4,6,15.8,1.34
