label,n,sharpe,cagr,mdd,calmar,wr,min_yr,pos_yrs,pf,sleeve,variant
CCI_ETH_4h::baseline,100,1.217,0.2845,-0.291,0.978,0.42,-0.1492,5,1.97,CCI_ETH_4h,baseline
CCI_ETH_4h::V41_regxit,98,1.58,0.5387,-0.2788,1.933,0.408,-0.1376,5,2.56,CCI_ETH_4h,V41_regxit
CCI_ETH_4h::V42_mtf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,CCI_ETH_4h,V42_mtf
CCI_ETH_4h::V43_vol,51,0.749,0.1141,-0.1833,0.622,0.373,-0.06,4,1.79,CCI_ETH_4h,V43_vol
CCI_ETH_4h::V44_tp12,174,1.259,0.2218,-0.1818,1.22,0.695,0.0584,6,1.69,CCI_ETH_4h,V44_tp12
CCI_ETH_4h::V45_combo,54,1.15,0.2503,-0.259,0.966,0.37,-0.0756,4,2.37,CCI_ETH_4h,V45_combo
STF_SOL_4h::baseline,115,1.707,0.4839,-0.243,1.991,0.383,0.0075,6,2.14,STF_SOL_4h,baseline
STF_SOL_4h::V41_regxit,126,0.482,0.0995,-0.359,0.277,0.333,-0.1526,3,1.32,STF_SOL_4h,V41_regxit
STF_SOL_4h::V42_mtf,104,1.506,0.3802,-0.243,1.564,0.365,-0.0169,5,2.02,STF_SOL_4h,V42_mtf
STF_SOL_4h::V43_vol,89,1.57,0.386,-0.2992,1.29,0.393,0.0463,6,2.25,STF_SOL_4h,V43_vol
STF_SOL_4h::V44_tp12,183,0.704,0.1169,-0.2279,0.513,0.656,-0.0653,4,1.34,STF_SOL_4h,V44_tp12
STF_SOL_4h::V45_combo,94,0.766,0.1703,-0.2266,0.752,0.362,-0.0964,4,1.61,STF_SOL_4h,V45_combo
STF_AVAX_4h::baseline,106,1.326,0.3303,-0.2455,1.346,0.415,-0.0057,5,1.93,STF_AVAX_4h,baseline
STF_AVAX_4h::V41_regxit,109,1.236,0.3442,-0.3284,1.048,0.339,-0.0526,5,1.9,STF_AVAX_4h,V41_regxit
STF_AVAX_4h::V42_mtf,85,0.971,0.1931,-0.2543,0.759,0.376,-0.0858,5,1.7,STF_AVAX_4h,V42_mtf
STF_AVAX_4h::V43_vol,89,1.248,0.2854,-0.2685,1.063,0.404,-0.0361,5,1.97,STF_AVAX_4h,V43_vol
STF_AVAX_4h::V44_tp12,156,0.662,0.0996,-0.2019,0.493,0.628,-0.0159,4,1.32,STF_AVAX_4h,V44_tp12
STF_AVAX_4h::V45_combo,91,1.425,0.3846,-0.2847,1.351,0.374,0.0091,6,2.19,STF_AVAX_4h,V45_combo
LATBB_AVAX_4h::baseline,52,0.965,0.1505,-0.3023,0.498,0.327,-0.1629,3,1.87,LATBB_AVAX_4h,baseline
LATBB_AVAX_4h::V41_regxit,52,0.928,0.1565,-0.2872,0.545,0.308,-0.1187,5,1.89,LATBB_AVAX_4h,V41_regxit
LATBB_AVAX_4h::V42_mtf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,LATBB_AVAX_4h,V42_mtf
LATBB_AVAX_4h::V43_vol,28,-0.173,-0.0235,-0.3015,-0.078,0.214,-0.1185,3,0.85,LATBB_AVAX_4h,V43_vol
LATBB_AVAX_4h::V44_tp12,77,0.463,0.0465,-0.2806,0.166,0.623,-0.1493,4,1.3,LATBB_AVAX_4h,V44_tp12
LATBB_AVAX_4h::V45_combo,28,-0.009,-0.0074,-0.2883,-0.026,0.25,-0.119,3,1.02,LATBB_AVAX_4h,V45_combo
